Pos,Name,GP,Team,Stat,Statname,League,ABBR,CREST
7,Thauvin,29,Marseille,16,Goals,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
8,Balotelli,23,Nice,14,Goals,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/0/03/OGC_Nice_Logo.png
9,Mbappé,24,Paris Saint-Germain,13,Goals,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/8/86/Paris_Saint-Germain_Logo.svg
10,Plea,30,Nice,13,Goals,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/0/03/OGC_Nice_Logo.png
1,Neymar,20,Paris Saint-Germain,13,Assists,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/8/86/Paris_Saint-Germain_Logo.svg
2,Thauvin,29,Marseille,10,Assists,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
3,Depay,30,Lyon,10,Assists,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/f/f1/Olympique_Lyon.svg
4,Payet,27,Marseille,9,Assists,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
5,Mbappé,24,Paris Saint-Germain,8,Assists,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/8/86/Paris_Saint-Germain_Logo.svg
6,Dossevi,24,Metz,8,Assists,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/b/ba/FC_Metz_Logo.svg
7,Lemar,24,Monaco,7,Assists,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/3/3c/AS_Monaco.svg
8,Bamba,28,St Etienne,7,Assists,Ligue 1,FCB,Noneee
9,Bourigeaud,31,Rennes,7,Assists,Ligue 1,FCB,Noneee
10,Alves,22,Paris Saint-Germain,6,Assists,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/8/86/Paris_Saint-Germain_Logo.svg
1,Payet,27,Marseille,98,Ch. Created,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
2,Bourigeaud,31,Rennes,79,Ch. Created,Ligue 1,FCB,Noneee
3,Malcom,29,Bordeaux,72,Ch. Created,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/e/ea/Girondins_Bordeaux_Logo.svg
4,Neymar,20,Paris Saint-Germain,69,Ch. Created,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/8/86/Paris_Saint-Germain_Logo.svg
5,Dossevi,24,Metz,64,Ch. Created,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/b/ba/FC_Metz_Logo.svg
6,Thauvin,29,Marseille,62,Ch. Created,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/2/27/Olympique_Marseille_Logo.svg
7,Kakuta,30,Amiens,60,Ch. Created,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/de/0/0d/SC_Amiens_Logo.svg
8,Féret,31,Caen,56,Ch. Created,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/7/79/LogoSmc2013.png
9,Seri,25,Nice,53,Ch. Created,Ligue 1,FCB,https://upload.wikimedia.org/wikipedia/fr/0/03/OGC_Nice_Logo.png
10,Mangani,30,Angers,53,Ch. Created,Ligue 1,FCB,http://upload.wikimedia.org/wikipedia/de/0/0f/SCO_Angers.svg
1,Salah,31,Liverpool,29,Goals,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/0/0a/FC_Liverpool.svg
2,Kane,31,Tottenham Hotspur,25,Goals,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg
3,Agüero,25,Manchester City,21,Goals,Premier League,FCB,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
4,Sterling,28,Manchester City,16,Goals,Premier League,FCB,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
5,Vardy,31,Leicester City,16,Goals,Premier League,FCB,http://upload.wikimedia.org/wikipedia/en/6/63/Leicester02.png
6,Lukaku,31,Manchester United,15,Goals,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/d/da/Manchester_United_FC.svg
7,Firmino,32,Liverpool,14,Goals,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/0/0a/FC_Liverpool.svg
8,Heung-Min,31,Tottenham Hotspur,12,Goals,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg
9,Morata,26,Chelsea,11,Goals,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/5/5c/Chelsea_crest.svg
10,Hazard,28,Chelsea,11,Goals,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/5/5c/Chelsea_crest.svg
1,Bruyne,32,Manchester City,15,Assists,Premier League,FCB,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
2,Sané,27,Manchester City,12,Assists,Premier League,FCB,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
3,Silva,26,Manchester City,11,Assists,Premier League,FCB,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
4,Alli,31,Tottenham Hotspur,10,Assists,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg
5,Pogba,21,Manchester United,9,Assists,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/d/da/Manchester_United_FC.svg
6,Mkhitaryan,22,Arsenal,9,Assists,Premier League,FCB,http://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
7,Salah,31,Liverpool,9,Assists,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/0/0a/FC_Liverpool.svg
8,Eriksen,31,Tottenham Hotspur,9,Assists,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg
9,Özil,26,Arsenal,8,Assists,Premier League,FCB,http://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
10,Sterling,28,Manchester City,8,Assists,Premier League,FCB,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
1,Bruyne,32,Manchester City,102,Ch. Created,Premier League,FCB,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
2,Özil,26,Arsenal,84,Ch. Created,Premier League,FCB,http://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
3,Fàbregas,28,Chelsea,79,Ch. Created,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/5/5c/Chelsea_crest.svg
4,Eriksen,31,Tottenham Hotspur,78,Ch. Created,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg
5,Groß,32,Brighton and Hove Albion,74,Ch. Created,Premier League,FCB,Noneee
6,Hazard,28,Chelsea,73,Ch. Created,Premier League,FCB,http://upload.wikimedia.org/wikipedia/de/5/5c/Chelsea_crest.svg
